"id","idade","altura","peso","imc","sexo","escolaridade","profissao","fumante.f","fumante.n","salario","carros","filhos"
"43",43,29,1.41,51.58,25.94,"F","3º Grau","Humanas","não",0,2657.85,0,0
"44",44,33,1.47,53.88,24.93,"F","Analfabeto","Humanas","não",0,2887.75,0,0
"45",45,28,1.4,51.02,26.03,"F","PósDoc","Humanas","não",0,2602.26,1,0
"46",46,28,1.4,51.13,26.09,"M","3º Grau","Humanas","não",0,2612.59,0,0
"47",47,27,1.39,50.57,26.17,"F","Analfabeto","Humanas","sim",1,2557.07,2,0
"48",48,26,1.37,49.99,26.63,"F","PósDoc","Exatas","não",0,2499.21,1,1
"49",49,31,1.45,52.9,25.16,"M","1º Grau","Biológicas","não",0,2790.47,3,2
"50",50,32,1.45,53.01,25.21,"M","Mestrado","Exatas","sim",1,2801.26,2,1
"51",51,22,1.32,47.78,27.42,"M","3º Grau","Biológicas","não",0,2277.59,0,2
"52",52,31,1.44,52.67,25.4,"F","2º Grau","Exatas","não",0,2767.17,2,1
"53",53,27,1.39,50.56,26.17,"F","Doutorado","Biológicas","sim",1,2556.44,3,2
"54",54,28,1.4,50.94,25.99,"M","Doutorado","Biológicas","não",0,2594.02,3,2
"55",55,34,1.48,54.35,24.81,"F","Doutorado","Humanas","não",0,2935.08,3,0
"56",56,39,1.56,57.25,23.52,"M","2º Grau","Humanas","não",0,3225.22,1,0
"57",57,47,1.66,61.59,22.35,"M","Analfabeto","Biológicas","não",0,3659.13,0,2
"58",58,30,1.42,51.91,25.74,"F","PósDoc","Biológicas","sim",1,2690.66,1,2
"59",59,46,1.66,61.42,22.29,"F","3º Grau","Exatas","não",0,3642.36,1,1
"60",60,27,1.38,50.37,26.45,"M","Analfabeto","Exatas","sim",1,2536.88,2,1
"61",61,40,1.57,57.63,23.38,"M","PósDoc","Humanas","sim",1,3262.64,1,0
"62",62,53,1.75,65.2,21.29,"M","2º Grau","Biológicas","não",0,4019.6,0,2
"63",63,35,1.5,54.86,24.38,"M","2º Grau","Exatas","não",0,2986.1,1,1
"64",64,30,1.43,52.32,25.59,"F","PósDoc","Biológicas","não",0,2732.15,3,2
"65",65,35,1.5,54.97,24.43,"F","2º Grau","Exatas","não",0,2996.96,2,1
"66",66,47,1.68,62.11,22.01,"F","PósDoc","Humanas","sim",1,3710.83,3,0
"67",67,27,1.39,50.45,26.11,"M","3º Grau","Biológicas","não",0,2544.56,1,2
"68",68,45,1.64,60.47,22.48,"F","PósDoc","Exatas","não",0,3547.13,0,1
"69",69,44,1.63,60.32,22.7,"F","1º Grau","Exatas","não",0,3531.83,3,1
"70",70,37,1.53,56.35,24.07,"F","2º Grau","Biológicas","não",0,3134.59,0,2
"71",71,35,1.5,55.03,24.46,"F","Doutorado","Humanas","não",0,3002.76,3,0
"72",72,32,1.45,53.18,25.29,"F","Mestrado","Exatas","sim",1,2817.81,3,1
"73",73,32,1.46,53.53,25.11,"M","Mestrado","Exatas","não",0,2853.39,1,1
"74",74,40,1.56,57.59,23.66,"F","PósDoc","Humanas","sim",1,3259.31,3,0
"75",75,49,1.71,63.28,21.64,"F","1º Grau","Biológicas","não",0,3828.11,1,2
"76",76,34,1.48,54.39,24.83,"F","3º Grau","Humanas","não",0,2938.64,1,0
"77",77,25,1.36,49.44,26.73,"M","3º Grau","Biológicas","não",0,2443.72,1,2
"78",78,30,1.43,52.11,25.48,"F","3º Grau","Exatas","não",0,2710.57,3,1
"79",79,37,1.53,56.03,23.94,"F","PósDoc","Humanas","não",0,3103.3,0,0
"80",80,33,1.47,53.73,24.86,"M","PósDoc","Biológicas","sim",1,2873.18,1,2
"81",81,34,1.48,54.29,24.79,"F","3º Grau","Exatas","sim",1,2928.88,2,1
"82",82,34,1.48,54.32,24.8,"F","3º Grau","Humanas","não",0,2932,1,0
"83",83,25,1.36,49.51,26.77,"F","PósDoc","Exatas","não",0,2451.08,2,1
"84",84,34,1.48,54.3,24.79,"M","3º Grau","Biológicas","não",0,2930.49,2,2
"85",85,41,1.59,58.4,23.1,"M","Analfabeto","Biológicas","não",0,3340.09,1,2
"86",86,40,1.57,57.79,23.45,"F","Analfabeto","Exatas","sim",1,3279.04,3,1
"87",87,39,1.55,57.2,23.81,"M","1º Grau","Biológicas","não",0,3220,2,2
"88",88,32,1.46,53.39,25.05,"F","1º Grau","Humanas","não",0,2838.91,1,0
"89",89,34,1.48,54.23,24.76,"F","Doutorado","Humanas","não",0,2923.36,1,0
"90",90,27,1.38,50.22,26.37,"F","1º Grau","Biológicas","sim",1,2522.19,2,2
"91",91,35,1.49,54.79,24.68,"F","1º Grau","Exatas","não",0,2978.74,2,1
"92",92,37,1.53,56.02,23.93,"M","Doutorado","Humanas","sim",1,3102.08,3,0
"93",93,47,1.67,61.82,22.17,"F","Analfabeto","Biológicas","não",0,3682.39,2,2
"94",94,42,1.6,59.01,23.05,"M","Mestrado","Exatas","não",0,3400.61,1,1
"95",95,32,1.45,53.02,25.22,"F","2º Grau","Exatas","não",0,2801.77,1,1
"96",96,37,1.54,56.42,23.79,"M","2º Grau","Humanas","não",0,3142.22,0,0
"97",97,27,1.39,50.46,26.12,"M","Doutorado","Humanas","não",0,2546.16,2,0
"98",98,41,1.59,58.51,23.14,"M","2º Grau","Biológicas","não",0,3351.28,0,2
"99",99,42,1.6,58.89,23,"F","2º Grau","Exatas","não",0,3389.17,0,1
"100",100,50,1.71,63.48,21.71,"M","3º Grau","Exatas","sim",1,3848.45,2,1
"101",101,38,1.54,56.66,23.89,"F","1º Grau","Exatas","não",0,3165.81,3,1
"102",102,32,1.45,53.1,25.26,"M","3º Grau","Exatas","não",0,2810.11,1,1
"103",103,35,1.51,55.26,24.24,"M","Mestrado","Humanas","não",0,3026.4,2,0
"104",104,31,1.45,52.99,25.2,"M","Mestrado","Exatas","não",0,2799.01,1,1
"105",105,29,1.42,51.7,25.64,"F","PósDoc","Humanas","não",0,2669.6,1,0
"106",106,36,1.52,55.67,24.1,"M","2º Grau","Biológicas","não",0,3066.8,2,2
"107",107,29,1.41,51.41,25.86,"F","Doutorado","Biológicas","não",0,2641.49,0,2
"108",108,36,1.52,55.67,24.1,"M","1º Grau","Exatas","não",0,3067.27,2,1
"109",109,37,1.54,56.42,23.79,"F","2º Grau","Exatas","não",0,3141.99,1,1
"110",110,35,1.49,54.79,24.68,"M","Mestrado","Biológicas","não",0,2979.16,0,2
"111",111,34,1.48,54.22,24.75,"F","PósDoc","Humanas","sim",1,2921.63,2,0
"112",112,30,1.44,52.4,25.27,"M","2º Grau","Humanas","não",0,2740.37,0,0
"113",113,27,1.39,50.56,26.17,"M","2º Grau","Humanas","sim",1,2556.09,3,0
"114",114,41,1.58,58.4,23.39,"F","Doutorado","Humanas","não",0,3339.71,1,0
"115",115,35,1.5,55.09,24.48,"M","Analfabeto","Humanas","não",0,3008.95,1,0
"116",116,41,1.58,58.32,23.36,"M","Doutorado","Biológicas","sim",1,3332.46,2,2
"117",117,26,1.38,50.02,26.27,"M","Mestrado","Biológicas","sim",1,2502.28,3,2
"118",118,36,1.52,55.68,24.1,"M","PósDoc","Biológicas","não",0,3067.61,1,2
"119",119,40,1.57,57.69,23.4,"F","Analfabeto","Humanas","não",0,3269.27,1,0
"120",120,35,1.5,54.89,24.4,"F","3º Grau","Exatas","sim",1,2989.49,1,1
"121",121,34,1.48,54.23,24.76,"M","PósDoc","Biológicas","sim",1,2923.44,1,2
"122",122,30,1.42,51.87,25.72,"M","Mestrado","Exatas","sim",1,2687.24,2,1
"123",123,49,1.71,63.23,21.62,"M","3º Grau","Exatas","sim",1,3823.26,1,1
"124",124,40,1.58,58,23.23,"M","3º Grau","Exatas","sim",1,3300.2,0,1
"125",125,48,1.68,62.3,22.07,"M","PósDoc","Exatas","não",0,3729.68,1,1
"126",126,36,1.51,55.32,24.26,"M","PósDoc","Humanas","não",0,3032.02,0,0
"127",127,31,1.44,52.47,25.3,"F","Analfabeto","Humanas","não",0,2747.44,2,0
"128",128,24,1.35,48.95,26.86,"F","2º Grau","Humanas","não",0,2394.68,2,0
"129",129,31,1.44,52.46,25.3,"F","3º Grau","Exatas","não",0,2745.56,2,1
"130",130,37,1.52,55.91,24.2,"M","Mestrado","Biológicas","não",0,3090.52,1,2
"131",131,42,1.6,59.05,23.07,"F","2º Grau","Exatas","sim",1,3405.48,0,1
"132",132,37,1.53,56.01,23.93,"M","Analfabeto","Humanas","não",0,3101.1,0,0
"133",133,27,1.38,50.31,26.42,"F","PósDoc","Biológicas","não",0,2531.22,0,2
"134",134,40,1.57,57.67,23.4,"F","Mestrado","Biológicas","não",0,3267.49,2,2
"135",135,23,1.33,48.4,27.36,"M","1º Grau","Biológicas","sim",1,2339.96,0,2
"136",136,32,1.46,53.54,25.12,"F","1º Grau","Humanas","não",0,2853.66,1,0
"137",137,33,1.47,53.74,24.87,"M","1º Grau","Biológicas","sim",1,2873.55,0,2
"138",138,21,1.31,47.21,27.51,"M","Mestrado","Humanas","não",0,2220.7,3,0
"139",139,41,1.59,58.68,23.21,"F","Doutorado","Humanas","não",0,3368.02,1,0
"140",140,31,1.44,52.51,25.32,"M","Mestrado","Exatas","sim",1,2750.85,2,1
"141",141,33,1.47,53.66,24.83,"F","PósDoc","Exatas","não",0,2866.39,1,1
"142",142,45,1.64,60.58,22.52,"M","Mestrado","Humanas","sim",1,3558.06,3,0
"143",143,39,1.56,57.55,23.65,"F","Analfabeto","Humanas","não",0,3254.67,0,0
"144",144,34,1.49,54.57,24.58,"M","Mestrado","Exatas","não",0,2956.63,1,1
"145",145,39,1.55,57.06,23.75,"M","2º Grau","Exatas","não",0,3205.51,3,1
"146",146,38,1.54,56.6,23.87,"M","Doutorado","Exatas","não",0,3159.71,0,1
"147",147,47,1.67,61.65,22.11,"F","3º Grau","Biológicas","sim",1,3665.14,3,2
"148",148,37,1.53,56.1,23.97,"M","Doutorado","Biológicas","não",0,3110.36,3,2
"149",149,39,1.55,57.03,23.74,"M","PósDoc","Humanas","sim",1,3202.51,1,0
"150",150,37,1.53,56.39,24.09,"M","PósDoc","Exatas","não",0,3139.02,3,1
"151",151,32,1.46,53.49,25.09,"M","Doutorado","Humanas","não",0,2849.1,2,0
"152",152,36,1.51,55.39,24.29,"F","Analfabeto","Exatas","não",0,3039.05,1,1
"153",153,46,1.66,61.55,22.34,"F","Analfabeto","Exatas","não",0,3655.5,2,1
"154",154,29,1.41,51.5,25.9,"M","PósDoc","Humanas","sim",1,2649.76,3,0
"155",155,36,1.51,55.49,24.34,"M","PósDoc","Humanas","não",0,3048.7,0,0
"156",156,45,1.64,60.45,22.48,"M","PósDoc","Biológicas","sim",1,3544.85,1,2
"157",157,33,1.48,54.06,24.68,"F","2º Grau","Exatas","não",0,2906.15,1,1
"158",158,28,1.39,50.79,26.29,"F","Mestrado","Biológicas","sim",1,2578.65,3,2
"159",159,29,1.41,51.52,25.91,"M","3º Grau","Humanas","não",0,2652.09,0,0
"160",160,32,1.46,53.44,25.07,"F","Analfabeto","Humanas","não",0,2843.95,2,0
"161",161,29,1.42,51.61,25.6,"M","Mestrado","Exatas","não",0,2661.06,0,1
"162",162,33,1.47,53.96,24.97,"M","3º Grau","Biológicas","não",0,2895.74,2,2
"163",163,32,1.46,53.34,25.02,"F","Doutorado","Exatas","não",0,2834.23,0,1
"164",164,34,1.48,54.27,24.78,"M","2º Grau","Exatas","não",0,2926.78,1,1
"165",165,38,1.54,56.63,23.88,"F","3º Grau","Biológicas","não",0,3162.82,3,2
"166",166,39,1.56,57.5,23.63,"M","Doutorado","Biológicas","não",0,3249.85,2,2
"167",167,47,1.67,61.71,22.13,"F","2º Grau","Biológicas","não",0,3671.28,2,2
"168",168,35,1.49,54.73,24.65,"F","PósDoc","Exatas","não",0,2972.52,2,1
"169",169,33,1.47,53.72,24.86,"F","PósDoc","Humanas","sim",1,2871.66,2,0
"170",170,45,1.65,60.88,22.36,"M","PósDoc","Exatas","não",0,3588.4,0,1
"171",171,47,1.67,61.82,22.17,"F","3º Grau","Biológicas","sim",1,3681.73,2,2
"172",172,35,1.5,55.17,24.52,"M","PósDoc","Biológicas","não",0,3017.3,0,2
"173",173,33,1.47,53.67,24.84,"F","3º Grau","Humanas","sim",1,2866.94,1,0
"174",174,22,1.32,47.71,27.38,"F","Analfabeto","Biológicas","não",0,2271.11,0,2
"175",175,45,1.64,60.65,22.55,"M","Doutorado","Exatas","não",0,3564.5,1,1
"176",176,29,1.42,51.65,25.61,"F","Analfabeto","Biológicas","sim",1,2664.97,3,2
"177",177,27,1.39,50.5,26.14,"F","2º Grau","Humanas","não",0,2550.49,1,0
"178",178,56,1.8,67.18,20.73,"M","3º Grau","Exatas","não",0,4217.51,3,1
"179",179,37,1.52,55.94,24.21,"M","Mestrado","Biológicas","não",0,3094.01,1,2
"180",180,35,1.5,54.87,24.39,"M","3º Grau","Humanas","não",0,2986.7,2,0
"181",181,16,1.23,44.07,29.13,"M","PósDoc","Exatas","não",0,1907.11,2,1
"182",182,34,1.49,54.6,24.59,"F","Analfabeto","Humanas","não",0,2960.08,1,0
"183",183,42,1.6,58.9,23.01,"F","Doutorado","Biológicas","não",0,3390.41,0,2
"184",184,38,1.54,56.66,23.89,"M","2º Grau","Biológicas","não",0,3165.55,3,2
"185",185,41,1.59,58.65,23.2,"M","Analfabeto","Exatas","sim",1,3364.93,1,1
"186",186,49,1.7,62.93,21.78,"F","Analfabeto","Humanas","não",0,3793.49,2,0
"187",187,43,1.62,59.68,22.74,"F","Mestrado","Biológicas","sim",1,3467.64,3,2
"188",188,31,1.45,52.97,25.19,"M","2º Grau","Biológicas","não",0,2796.51,2,2
"189",189,40,1.57,57.82,23.46,"M","Analfabeto","Biológicas","não",0,3281.67,3,2
"190",190,34,1.48,54.21,24.75,"F","PósDoc","Humanas","sim",1,2920.63,3,0
"191",191,31,1.45,52.85,25.14,"M","Doutorado","Biológicas","não",0,2784.77,3,2
"192",192,15,1.21,43.58,29.77,"F","3º Grau","Exatas","sim",1,1857.7,0,1
"193",193,29,1.42,51.84,25.71,"F","3º Grau","Biológicas","não",0,2684.14,3,2
"194",194,38,1.55,56.95,23.7,"F","Mestrado","Humanas","sim",1,3195.13,1,0
"195",195,50,1.72,63.67,21.52,"F","PósDoc","Biológicas","sim",1,3867.21,0,2
"196",196,39,1.55,57,23.73,"F","1º Grau","Biológicas","sim",1,3200.28,0,2
"197",197,39,1.56,57.48,23.62,"M","PósDoc","Biológicas","sim",1,3248.08,1,2
"198",198,28,1.4,51.14,26.09,"M","Mestrado","Humanas","sim",1,2613.64,0,0
"199",199,36,1.52,55.65,24.09,"M","Mestrado","Exatas","sim",1,3065.06,2,1
"200",200,20,1.29,46.69,28.06,"F","2º Grau","Humanas","não",0,2168.7,2,0
"201",201,38,1.55,56.94,23.7,"M","Mestrado","Exatas","sim",1,3194.09,1,1
"202",202,40,1.57,57.79,23.45,"F","Doutorado","Exatas","não",0,3278.71,1,1
"203",203,36,1.52,55.74,24.13,"M","1º Grau","Humanas","não",0,3074.21,1,0
"204",204,40,1.57,57.8,23.45,"F","1º Grau","Exatas","sim",1,3280.29,2,1
"205",205,37,1.53,56.25,24.03,"M","3º Grau","Humanas","não",0,3124.67,0,0
"206",206,40,1.58,58.04,23.25,"M","Doutorado","Humanas","sim",1,3304.18,2,0
"207",207,48,1.68,62.37,22.1,"F","3º Grau","Exatas","não",0,3736.99,2,1
"208",208,43,1.61,59.45,22.94,"M","2º Grau","Exatas","não",0,3444.95,1,1
"209",209,35,1.5,55.13,24.5,"F","1º Grau","Humanas","não",0,3013.07,2,0
"210",210,27,1.39,50.54,26.16,"M","PósDoc","Exatas","sim",1,2554.22,3,1
"211",211,38,1.54,56.67,23.9,"F","Analfabeto","Exatas","não",0,3167.22,1,1
"212",212,32,1.46,53.4,25.05,"F","Analfabeto","Biológicas","não",0,2839.91,2,2
"213",213,45,1.65,60.97,22.39,"F","PósDoc","Exatas","não",0,3597.4,3,1
"214",214,24,1.34,48.57,27.05,"M","Analfabeto","Humanas","sim",1,2357.17,3,0
"215",215,32,1.46,53.34,25.02,"M","Doutorado","Biológicas","não",0,2833.7,3,2
"216",216,38,1.54,56.69,23.9,"M","Doutorado","Exatas","sim",1,3168.8,1,1
"217",217,34,1.48,54.39,24.83,"M","Mestrado","Exatas","não",0,2939.31,3,1
"218",218,31,1.44,52.58,25.36,"F","Analfabeto","Humanas","sim",1,2757.54,3,0
"219",219,33,1.47,53.78,24.89,"M","2º Grau","Exatas","não",0,2878.11,0,1
"220",220,39,1.56,57.52,23.64,"M","Mestrado","Humanas","sim",1,3251.81,2,0
"221",221,41,1.59,58.58,23.17,"F","Doutorado","Humanas","não",0,3358.07,3,0
"222",222,40,1.57,57.64,23.38,"F","1º Grau","Biológicas","não",0,3264.09,1,2
"223",223,51,1.73,64.09,21.41,"M","3º Grau","Exatas","não",0,3909.39,1,1
"224",224,43,1.62,59.69,22.74,"M","Doutorado","Exatas","não",0,3469.4,3,1
"225",225,37,1.53,56.15,23.99,"M","Mestrado","Biológicas","não",0,3115.08,1,2
"226",226,30,1.43,52.36,25.61,"M","Mestrado","Humanas","não",0,2736.09,2,0
"227",227,55,1.79,66.68,20.81,"F","Mestrado","Humanas","sim",1,4167.66,0,0
"228",228,40,1.57,57.71,23.41,"M","2º Grau","Biológicas","não",0,3270.97,0,2
"229",229,30,1.43,52.26,25.56,"M","3º Grau","Exatas","não",0,2726.27,0,1
"230",230,36,1.52,55.75,24.13,"M","Mestrado","Humanas","não",0,3074.6,2,0
"231",231,33,1.47,53.7,24.85,"F","Analfabeto","Humanas","sim",1,2870.24,1,0
"232",232,33,1.47,53.9,24.94,"M","1º Grau","Humanas","não",0,2890.12,0,0
"233",233,28,1.41,51.27,25.79,"M","1º Grau","Exatas","não",0,2626.6,1,1
"234",234,36,1.51,55.47,24.33,"F","PósDoc","Humanas","sim",1,3046.74,3,0
"235",235,37,1.53,56.28,24.04,"F","1º Grau","Biológicas","não",0,3127.66,0,2
"236",236,27,1.39,50.69,26.24,"M","PósDoc","Exatas","não",0,2568.98,2,1
"237",237,12,1.18,42.07,30.21,"M","Mestrado","Biológicas","sim",1,1706.74,2,2
"238",238,33,1.47,53.98,24.98,"M","3º Grau","Exatas","não",0,2898.05,2,1
"239",239,35,1.5,55.12,24.5,"F","1º Grau","Humanas","não",0,3011.81,2,0
"240",240,39,1.56,57.38,23.58,"F","1º Grau","Humanas","sim",1,3237.71,3,0
"241",241,35,1.51,55.24,24.23,"M","2º Grau","Biológicas","não",0,3023.65,1,2
"242",242,38,1.54,56.65,23.89,"F","PósDoc","Biológicas","não",0,3165.36,2,2
"243",243,27,1.39,50.61,26.19,"M","PósDoc","Biológicas","não",0,2560.89,1,2
"244",244,40,1.57,57.84,23.47,"M","Doutorado","Biológicas","sim",1,3284.47,3,2
"245",245,40,1.57,57.88,23.48,"F","Analfabeto","Exatas","sim",1,3287.56,1,1
"246",246,37,1.53,56.01,23.93,"F","Mestrado","Exatas","não",0,3100.66,0,1
"247",247,45,1.64,60.43,22.47,"M","1º Grau","Biológicas","sim",1,3542.91,3,2
"248",248,38,1.54,56.62,23.87,"M","Analfabeto","Humanas","não",0,3161.79,3,0
"249",249,37,1.53,56.06,23.95,"M","Doutorado","Humanas","sim",1,3105.75,0,0
"250",250,37,1.53,56.07,23.95,"M","Analfabeto","Humanas","sim",1,3107.22,3,0
"251",251,38,1.54,56.75,23.93,"M","3º Grau","Humanas","não",0,3174.77,1,0
"252",252,42,1.61,59.24,22.85,"M","PósDoc","Exatas","não",0,3424.05,3,1
"253",253,38,1.55,56.81,23.65,"M","1º Grau","Exatas","não",0,3180.88,0,1
"254",254,40,1.57,57.65,23.39,"F","1º Grau","Biológicas","não",0,3265.28,2,2
"255",255,27,1.39,50.45,26.11,"M","PósDoc","Biológicas","não",0,2545.45,0,2
"256",256,32,1.46,53.52,25.11,"M","Mestrado","Humanas","não",0,2851.8,0,0
"257",257,45,1.65,60.91,22.37,"F","PósDoc","Humanas","não",0,3590.79,3,0
"258",258,26,1.38,50.1,26.31,"F","Analfabeto","Biológicas","não",0,2510.44,0,2
"259",259,37,1.53,56.03,23.94,"F","PósDoc","Biológicas","não",0,3103.23,2,2
"260",260,38,1.54,56.62,23.87,"F","PósDoc","Humanas","não",0,3162,1,0
"261",261,42,1.6,58.9,23.01,"F","Analfabeto","Humanas","sim",1,3390.32,2,0
"262",262,33,1.47,53.6,24.8,"F","Mestrado","Humanas","não",0,2860.45,3,0
"263",263,36,1.52,55.63,24.08,"M","3º Grau","Exatas","não",0,3063.45,2,1
"264",264,23,1.32,47.95,27.52,"F","PósDoc","Exatas","não",0,2294.7,1,1
"265",265,37,1.53,56.35,24.07,"F","2º Grau","Humanas","não",0,3135.44,3,0
"266",266,30,1.43,52.33,25.59,"M","Doutorado","Exatas","não",0,2733.37,3,1
"267",267,33,1.48,54.05,24.68,"F","Mestrado","Biológicas","sim",1,2904.54,1,2
"268",268,27,1.38,50.25,26.39,"F","3º Grau","Exatas","não",0,2524.89,3,1
"269",269,38,1.54,56.54,23.84,"M","1º Grau","Biológicas","não",0,3153.97,3,2
"270",270,40,1.57,57.67,23.4,"F","Mestrado","Exatas","sim",1,3266.63,0,1
"271",271,33,1.47,53.78,24.89,"F","PósDoc","Exatas","não",0,2878.15,2,1
"272",272,48,1.68,62.3,22.07,"F","3º Grau","Humanas","sim",1,3730,1,0
"273",273,40,1.57,57.68,23.4,"F","Analfabeto","Exatas","não",0,3268.22,0,1
"274",274,42,1.59,58.79,23.25,"M","Analfabeto","Exatas","sim",1,3379.45,2,1
"275",275,49,1.7,63.2,21.87,"F","1º Grau","Biológicas","não",0,3819.76,2,2
"276",276,30,1.43,52.4,25.62,"M","PósDoc","Exatas","não",0,2739.55,0,1
"277",277,41,1.58,58.23,23.33,"F","3º Grau","Humanas","sim",1,3323.45,0,0
"278",278,42,1.6,58.95,23.03,"M","Analfabeto","Exatas","não",0,3394.63,3,1
"279",279,35,1.5,54.98,24.44,"M","Doutorado","Biológicas","não",0,2997.53,3,2
"280",280,37,1.53,56.28,24.04,"F","PósDoc","Biológicas","não",0,3127.62,2,2
"281",281,28,1.4,50.95,25.99,"F","Doutorado","Humanas","não",0,2595.27,3,0
"282",282,38,1.55,56.88,23.68,"F","PósDoc","Humanas","não",0,3188.07,0,0
"283",283,30,1.43,52.2,25.53,"F","3º Grau","Humanas","sim",1,2719.61,2,0
"284",284,41,1.58,58.25,23.33,"M","Doutorado","Exatas","sim",1,3325.47,3,1
"285",285,29,1.42,51.75,25.66,"M","1º Grau","Humanas","sim",1,2675.43,3,0
"286",286,37,1.53,56.28,24.04,"M","Doutorado","Exatas","não",0,3127.76,1,1
"287",287,29,1.42,51.61,25.6,"M","PósDoc","Humanas","não",0,2661.39,3,0
"288",288,33,1.48,54.02,24.66,"F","PósDoc","Humanas","não",0,2901.69,0,0
"289",289,24,1.34,48.79,27.17,"F","3º Grau","Humanas","sim",1,2378.86,3,0
"290",290,36,1.51,55.51,24.35,"M","Doutorado","Exatas","sim",1,3051.37,1,1
"291",291,42,1.6,58.94,23.02,"M","1º Grau","Humanas","não",0,3394.18,3,0
"292",292,36,1.52,55.73,24.12,"M","1º Grau","Exatas","não",0,3073.3,1,1
"293",293,23,1.32,47.94,27.51,"F","1º Grau","Humanas","sim",1,2293.51,1,0
"294",294,31,1.44,52.52,25.33,"M","Doutorado","Humanas","não",0,2751.79,0,0
"295",295,47,1.67,61.62,22.09,"M","PósDoc","Biológicas","não",0,3662.42,3,2
"296",296,48,1.68,62.24,22.05,"M","1º Grau","Exatas","sim",1,3723.92,0,1
"297",297,27,1.38,50.3,26.41,"M","2º Grau","Humanas","sim",1,2529.99,1,0
